,name,sys.country,coord.lat,coord.lon,main.temp_max,main.humidity,wind.speed,clouds.all
294,Mangaratiba,BR,-22.96,-44.04,78.12,88,4.7,0
295,Morondava,MG,-20.3,44.28,80.17,97,3.36,0
296,Kokkola,FI,63.84,23.13,19.4,79,5.82,0
297,Ca Mau,VN,9.18,105.15,78.41,88,7.49,44
298,Nicoya,CR,10.15,-85.45,87.8,43,18.34,0
299,Salvador,BR,-12.98,-38.48,80.6,74,6.93,40
300,Clyde River,CA,70.47,-68.59,-5.81,83,6.93,90
301,Chute-aux-Outardes,CA,49.12,-68.38,29.19,100,4.7,90
302,Kavaratti,IN,10.57,72.64,82.33,100,8.05,80
303,Lebedyn,UA,50.58,34.48,26.21,94,12.41,92
304,Guanay,BO,-15.5,-67.88,66.94,87,1.9,100
305,Tautira,PF,-17.73,-149.15,87.8,66,3.36,40
306,Mount Isa,AU,-20.73,139.49,87.8,58,8.05,40
307,Borogontsy,RU,62.67,131.17,14.83,59,3.8,0
308,San Cristobal,EC,-0.39,-78.55,59.0,67,2.24,75
309,Atagay,RU,55.1,99.39,27.34,90,4.14,12
310,Narsaq,GL,60.91,-46.05,26.6,49,5.82,20
311,Bangui,CF,4.39,18.55,77.0,88,8.05,20
312,Wajima,JP,37.4,136.9,60.8,51,19.46,0
313,Lompoc,US,34.64,-120.46,64.45,77,16.11,1
314,Honningsvag,NO,70.98,25.97,31.57,98,15.66,92
315,Gabu,CN,34.78,103.0,18.38,65,2.35,0
316,Taman,RU,45.22,36.72,46.4,93,15.66,92
317,Leningradskiy,RU,69.38,178.42,2.18,98,9.95,12
318,Coos Bay,US,43.37,-124.22,51.64,71,20.8,1
319,Sun Valley,US,43.7,-114.35,46.71,25,11.41,20
320,Myaundzha,RU,63.05,147.18,10.1,78,3.8,68
321,Tual,ID,-5.67,132.75,79.36,100,14.76,48
322,Athabasca,CA,54.72,-113.29,25.76,87,9.4,68
323,Dunedin,NZ,-45.87,170.5,58.93,77,1.34,32
324,Kiama,AU,-34.67,150.86,75.2,60,2.24,0
325,Ainazi,LV,57.86,24.36,11.36,65,1.57,0
326,Lakatoro,VU,-16.11,167.42,83.36,88,5.82,56
327,Kirakira,SB,-10.46,161.92,84.22,100,8.39,12
328,Harper,US,30.3,-99.24,68.67,72,8.05,90
329,Phonhong,LA,18.5,102.42,73.4,94,4.03,75
330,Sosnovo-Ozerskoye,RU,52.53,111.54,23.65,60,8.61,48
331,Puerto Carreno,CO,6.19,-67.49,74.0,89,0.56,92
332,Hami,CN,42.84,93.51,53.98,39,6.6,80
333,Lubumbashi,CD,-11.66,27.48,61.9,94,5.37,56
334,Marinette,US,45.1,-87.63,40.86,75,5.82,1
335,Atasu,KZ,48.68,71.64,17.44,70,3.58,0
336,Mongoumba,CD,3.64,18.59,76.16,88,3.58,88
337,Katsuura,JP,33.93,134.5,64.4,55,10.29,0
338,Grand Forks,US,47.91,-97.06,24.4,79,12.75,40
339,Buraydah,SA,26.33,43.97,77.0,27,11.41,0
340,Prince Rupert,CA,54.32,-130.32,44.6,70,4.7,1
341,Havre-Saint-Pierre,CA,50.23,-63.6,32.0,94,6.93,75
342,San Rafael del Sur,NI,11.85,-86.44,86.0,48,18.34,40
343,Cuamba,MZ,-14.8,36.54,66.4,95,1.9,48
344,Carlisle,GB,54.89,-2.94,33.8,100,3.36,64
345,Nisia Floresta,BR,-6.09,-35.21,75.2,100,4.7,75
346,Yumen,CN,40.29,97.04,44.71,62,11.18,32
347,Ust-Ilimsk,RU,57.96,102.73,29.23,67,10.96,80
